"CID","LAC","MCC","MNC","Operator","CGI","Technology","Lon","Lat","SessionId","TestId","NetworkId","SystemName","ADevice","Time","PosId","FileId","BTSLon","BTSLat","BTSLonDiff","BTSLatDiff","BTSDist","BTS2LonDiff","BTS2LatDiff","BTS2Dist","BTS3LonDiff","BTS3LatDiff","BTS3Dist","BTSTech","FloorPlanName","FloorPlanLevel","SessionIdLP","TestIdLP","PosIdLP","NetworkIdLP","RSRP","NumMeasuredCells","ChnPCI"
"15494913","21107","510","1","Indosat Ooredoo","15494913-1-510","LTE E-UTRA 3","105.196699","-4.985956","227633266689","0","227633266689","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 18:42:10.382","227633266689","53",,,"105.196699","-4.985956",,"105.196699","-4.985956",,"105.196699","-4.985956",,,,,,,,,"    -111.0","6","1625 493"
"41046541","1603","510","9","Smartfren","41046541-9-510","LTE E-UTRA 40","105.196699","-4.985956","236223201281","0","236223201281","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 18:42:09.28","236223201281","55",,,"105.196699","-4.985956",,"105.196699","-4.985956",,"105.196699","-4.985956",,,,,,,,,"    -113.0","7","39050 29"
"74453249","29005","510","11","XL","74453249-11-510","LTE E-UTRA 8","105.19464","-4.989564","249108103169","0","249108103169","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 18:39:13.549","249108103169","58",,,"105.19464","-4.989564",,"105.19464","-4.989564",,"105.19464","-4.989564",,,,,,,,,"    -109.0","7","3774 30"
"28442379","4100","510","10","Telkomsel","28442379-10-510","LTE E-UTRA 3","105.194725","-4.989528","253403070465","0","253403070465","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 18:39:09.39","253403070465","59",,,"105.194725","-4.989528",,"105.194725","-4.989528",,"105.194725","-4.989528",,,,,,,,,"    -103.0","1","1850 81"
"15873025","21107","510","1","Indosat Ooredoo","15873025-1-510","LTE E-UTRA 3","105.194725","-4.989528","261993005057","0","261993005057","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 18:39:09.704","261993005057","61",,,"105.194725","-4.989528",,"105.194725","-4.989528",,"105.194725","-4.989528",,,,,,,,,"    -110.0","9","1625 493"
"41046541","1603","510","9","Smartfren","41046541-9-510","LTE E-UTRA 40","105.194725","-4.989528","270582939649","0","270582939649","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 18:39:09.134","270582939649","63",,,"105.194725","-4.989528",,"105.194725","-4.989528",,"105.194725","-4.989528",,,,,,,,,"    -118.0","7","39050 29"
"74362630","29005","510","11","XL","74362630-11-510","LTE E-UTRA 3","105.196851","-4.983349","283467841537","0","283467841537","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 18:36:13.546","283467841537","66",,,"105.196851","-4.983349",,"105.196851","-4.983349",,"105.196851","-4.983349",,,,,,,,,"    -100.5","1","1325 455"
"28442379","4100","510","10","Telkomsel","28442379-10-510","LTE E-UTRA 3","105.197011","-4.983327","292057776129","0","292057776129","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 18:36:09.587","292057776129","68",,,"105.197011","-4.983327",,"105.197011","-4.983327",,"105.197011","-4.983327",,,,,,,,,"    -102.0","1","1850 81"
"15385603","21107","510","1","Indosat Ooredoo","15385603-1-510","LTE E-UTRA 3","105.197011","-4.983327","296352743425","0","296352743425","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 18:36:10.83","296352743425","69",,,"105.197011","-4.983327",,"105.197011","-4.983327",,"105.197011","-4.983327",,,,,,,,,"     -96.6","0","1625 33"
"41046541","1603","510","9","Smartfren","41046541-9-510","LTE E-UTRA 40","105.196851","-4.983349","309237645313","0","309237645313","NCM30100887","Samsung Galaxy S21+ 5G (SM-G996BDS)","19/3/2022 18:36:09.639","309237645313","72",,,"105.196851","-4.983349",,"105.196851","-4.983349",,"105.196851","-4.983349",,,,,,,,,"     -98.0","0","39050 29"
