SessionId,TestId,Serving Operator,Home Operator,Technology,CallingModule,ASideDevice,msgDate,msgTime,CollectionName,TestDescription,Zone,Throughput,URL,Status,APN
1597727834118,1597727834115,XL,XL,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,14:31:22,ZONA17_LAMONGAN_DT,,NCM30100884,5544.32,https://www.detik.com,Successful,internet
1687922147334,1687922147331,XL,XL,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,15:00:00,ZONA17_LAMONGAN_DT,,NCM30100884,6542.376,https://www.detik.com,Successful,internet
1692217114630,1692217114627,Indosat Ooredoo,Indosat Ooredoo,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,15:00:00,ZONA17_LAMONGAN_DT,,NCM30100884,6186.184,https://www.detik.com,Successful,internet
1696512081926,1696512081923,Telkomsel,Telkomsel,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,14:59:57,ZONA17_LAMONGAN_DT,,NCM30100884,8071.448,https://www.detik.com,Successful,internet
1700807049222,1700807049219,Smartfren,Smartfren,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,15:00:10,ZONA17_LAMONGAN_DT,,NCM30100884,82.544,https://www.detik.com,Failed,Smartfren4G
1791001362438,1791001362435,Indosat Ooredoo,Indosat Ooredoo,LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,15:25:58,ZONA17_LAMONGAN_DT,,NCM30100884,3496.592,https://www.detik.com,Successful,internet
1795296329734,1795296329731,XL,XL,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,15:25:58,ZONA17_LAMONGAN_DT,,NCM30100884,6171.328,https://www.detik.com,Successful,internet
1799591297030,1799591297027,Telkomsel,Telkomsel,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,15:25:58,ZONA17_LAMONGAN_DT,,NCM30100884,2958.464,https://www.detik.com,Successful,internet
1803886264326,1803886264323,Fren/Hepi,Smartfren,LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,15:25:55,ZONA17_LAMONGAN_DT,,NCM30100884,6922.008,https://www.detik.com,Successful,Smartfren4G
1859720839174,1859720839171,Telkomsel,Telkomsel,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,15:45:42,ZONA17_LAMONGAN_DT,,NCM30100884,7775.864,https://www.detik.com,Successful,internet
1864015806470,1864015806467,XL,XL,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,15:45:42,ZONA17_LAMONGAN_DT,,NCM30100884,7913.952,https://www.detik.com,Successful,internet
1868310773766,1868310773763,Indosat Ooredoo,Indosat Ooredoo,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,15:45:43,ZONA17_LAMONGAN_DT,,NCM30100884,3839.344,https://www.detik.com,Successful,internet
1872605741062,1872605741059,Smartfren,Smartfren,LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,15:45:46,ZONA17_LAMONGAN_DT,,NCM30100884,5667.384,https://www.detik.com,Successful,Smartfren4G
