SessionId,TestId,Serving Operator,Home Operator,Technology,CallingModule,ASideDevice,msgDate,msgTime,CollectionName,TestDescription,Zone,,Host,Status,URICount
1455993913356,1455993913350,XL,XL,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,21:56:27,ZONA17_LAMONGAN_DT,,NCM30100884,765.208,http://103.102.153.214/put-XL_V1_BP15,Successful,1
1460288880650,1460288880645,Fren/Hepi,Smartfren,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,21:55:23,ZONA17_LAMONGAN_DT,,NCM30100884,5776.008,http://file.swissqual.rocks/kominfo/500MB.dat,Successful,1
1460288880652,1460288880646,Smartfren,Smartfren,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,21:55:53,ZONA17_LAMONGAN_DT,,NCM30100884,764.984,http://103.102.153.214/put-SMARTFREN_V1_BP15,Successful,1
1584842932234,1584842932229,Telkomsel,Telkomsel,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,14:31:54,ZONA17_LAMONGAN_DT,,NCM30100884,54216.76,http://file.swissqual.rocks/kominfo/500MB.dat,Successful,1
1584842932236,1584842932230,Telkomsel,Telkomsel,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,14:32:24,ZONA17_LAMONGAN_DT,,NCM30100884,42985.952,http://103.102.153.214/put-TELKOMSEL_V1_BP15,Successful,1
1589137899530,1589137899525,Indosat Ooredoo,Indosat Ooredoo,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,14:31:53,ZONA17_LAMONGAN_DT,,NCM30100884,4560.536,http://file.swissqual.rocks/kominfo/500MB.dat,Successful,1
1589137899532,1589137899526,Indosat Ooredoo,Indosat Ooredoo,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,14:32:24,ZONA17_LAMONGAN_DT,,NCM30100884,22742.112,http://103.102.153.214/put-INDOSAT_V1_BP15,Successful,1
1593432866826,1593432866821,Smartfren,Smartfren,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,14:32:32,ZONA17_LAMONGAN_DT,,NCM30100884,14289.08,http://file.swissqual.rocks/kominfo/500MB.dat,Successful,1
1593432866828,1593432866822,Smartfren,Smartfren,LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,14:33:02,ZONA17_LAMONGAN_DT,,NCM30100884,3069.656,http://103.102.153.214/put-SMARTFREN_V1_BP15,Successful,1
1597727834122,1597727834117,XL,XL,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,14:32:19,ZONA17_LAMONGAN_DT,,NCM30100884,1094.752,http://file.swissqual.rocks/kominfo/500MB.dat,Successful,1
1597727834124,1597727834118,XL,XL,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,14:32:49,ZONA17_LAMONGAN_DT,,NCM30100884,1454.128,http://103.102.153.214/put-XL_V1_BP15,Successful,1
1687922147338,1687922147333,XL,XL,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,15:00:56,ZONA17_LAMONGAN_DT,,NCM30100884,73679.464,http://file.swissqual.rocks/kominfo/500MB.dat,Successful,1
1687922147340,1687922147334,XL,XL,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,15:01:27,ZONA17_LAMONGAN_DT,,NCM30100884,20485.576,http://103.102.153.214/put-XL_V1_BP15,Successful,1
1692217114634,1692217114629,Indosat Ooredoo,Indosat Ooredoo,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,15:00:58,ZONA17_LAMONGAN_DT,,NCM30100884,5704.936,http://file.swissqual.rocks/kominfo/500MB.dat,Successful,1
1692217114636,1692217114630,Indosat Ooredoo,Indosat Ooredoo,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,15:01:29,ZONA17_LAMONGAN_DT,,NCM30100884,34737.216,http://103.102.153.214/put-INDOSAT_V1_BP15,Successful,1
1696512081930,1696512081925,Telkomsel,Telkomsel,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,15:01:04,ZONA17_LAMONGAN_DT,,NCM30100884,21860.744,http://file.swissqual.rocks/kominfo/500MB.dat,Successful,1
1696512081932,1696512081926,Telkomsel,Telkomsel,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,15:01:34,ZONA17_LAMONGAN_DT,,NCM30100884,33079.312,http://103.102.153.214/put-TELKOMSEL_V1_BP15,Successful,1
1700807049226,1700807049221,Fren/Hepi,Smartfren,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,15:01:33,ZONA17_LAMONGAN_DT,,NCM30100884,13.672,http://file.swissqual.rocks/kominfo/500MB.dat,Successful,1
1700807049228,1700807049222,Fren/Hepi,Smartfren,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,15:02:04,ZONA17_LAMONGAN_DT,,NCM30100884,1456.552,http://103.102.153.214/put-SMARTFREN_V1_BP15,Successful,1
1791001362442,1791001362437,Indosat Ooredoo,Indosat Ooredoo,LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,15:26:47,ZONA17_LAMONGAN_DT,,NCM30100884,4238.784,http://file.swissqual.rocks/kominfo/500MB.dat,Successful,1
1791001362444,1791001362438,Indosat Ooredoo,Indosat Ooredoo,LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,15:27:17,ZONA17_LAMONGAN_DT,,NCM30100884,12363.52,http://103.102.153.214/put-INDOSAT_V1_BP15,Successful,1
1795296329738,1795296329733,XL,XL,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,15:26:47,ZONA17_LAMONGAN_DT,,NCM30100884,17989.64,http://file.swissqual.rocks/kominfo/500MB.dat,Successful,1
1795296329740,1795296329734,XL,XL,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,15:27:17,ZONA17_LAMONGAN_DT,,NCM30100884,5259.992,http://103.102.153.214/put-XL_V1_BP15,Successful,1
1799591297034,1799591297029,Telkomsel,Telkomsel,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,15:27:02,ZONA17_LAMONGAN_DT,,NCM30100884,1.36,http://file.swissqual.rocks/kominfo/500MB.dat,Successful,1
1799591297036,1799591297030,Telkomsel,Telkomsel,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,15:27:33,ZONA17_LAMONGAN_DT,,NCM30100884,1053.84,http://103.102.153.214/put-TELKOMSEL_V1_BP15,Successful,1
1803886264330,1803886264325,Fren/Hepi,Smartfren,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,15:26:52,ZONA17_LAMONGAN_DT,,NCM30100884,2842.888,http://file.swissqual.rocks/kominfo/500MB.dat,Successful,1
1803886264332,1803886264326,Fren/Hepi,Smartfren,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,15:27:22,ZONA17_LAMONGAN_DT,,NCM30100884,1360.832,http://103.102.153.214/put-SMARTFREN_V1_BP15,Successful,1
1859720839178,1859720839173,Telkomsel,Telkomsel,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,15:46:36,ZONA17_LAMONGAN_DT,,NCM30100884,21779.344,http://file.swissqual.rocks/kominfo/500MB.dat,Successful,1
1859720839180,1859720839174,Telkomsel,Telkomsel,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,15:47:06,ZONA17_LAMONGAN_DT,,NCM30100884,16899.944,http://103.102.153.214/put-TELKOMSEL_V1_BP15,Successful,1
1864015806474,1864015806469,XL,XL,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,15:46:35,ZONA17_LAMONGAN_DT,,NCM30100884,20719.152,http://file.swissqual.rocks/kominfo/500MB.dat,Successful,1
1864015806476,1864015806470,XL,XL,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,15:47:05,ZONA17_LAMONGAN_DT,,NCM30100884,13285.856,http://103.102.153.214/put-XL_V1_BP15,Successful,1
1868310773770,1868310773765,Indosat Ooredoo,Indosat Ooredoo,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,15:46:42,ZONA17_LAMONGAN_DT,,NCM30100884,29145.2,http://file.swissqual.rocks/kominfo/500MB.dat,Successful,1
1868310773772,1868310773766,Indosat Ooredoo,Indosat Ooredoo,LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,15:47:13,ZONA17_LAMONGAN_DT,,NCM30100884,18330.832,http://103.102.153.214/put-INDOSAT_V1_BP15,Successful,1
1872605741066,1872605741061,Smartfren,Smartfren,LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,15:46:47,ZONA17_LAMONGAN_DT,,NCM30100884,11487.112,http://file.swissqual.rocks/kominfo/500MB.dat,Successful,1
1872605741068,1872605741062,Smartfren,Smartfren,LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,15:47:18,ZONA17_LAMONGAN_DT,,NCM30100884,1635.016,http://103.102.153.214/put-SMARTFREN_V1_BP15,Successful,1
