ASideFileName,TestDescription,CollectionName,CampaignName,UserName,CallingModule,ASideDevice,ASideNumber,ASideLocation,Region,JobName,TestName,SessionId,TestId,MsgDateTime,Date,Time,Test Type,Source,Cid,LAC,Operator,Technology,Player,URL,VideoResolution,DisplayResolution,Container,VideoServer,VQ Series,SessionQuality,TestQualityAvg,TestQualityMin,TestQualityMax,Freezing,,Status,StatusOk,StatusFailed,,Jerkiness,Blurring,Tiling
2022-03-15-22-50-12-9211-0884-7003-6988-S.mf,,ZONA17_LAMONGAN_DT,BP15_DT_01_DATA,Diversity,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),+6285717660973,INDOSAT_V1_BP15,,YouTube Service,YouTube Service,219043332100,219043332098,2022-03-15 22:50:26.057,15.03.2022,22:50:26,YouTube Video Streaming,YouTube,11572739.0,32141.0,Indosat Ooredoo,LTE E-UTRA 3,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101),yFvWoSCp0UA,,1280 * 720,,10.194.129.134,NR,1.0,3.5,2.5,3.9000000953674316,0.0,0.0,ok,1,0,0.895,0.10000000149011612,,
2022-03-15-22-50-12-9211-0884-7003-9438-S.mf,,ZONA17_LAMONGAN_DT,BP15_DT_01_DATA,Diversity,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),+6287825402790,XL_V1_BP15,,YouTube Service,YouTube Service,223338299396,223338299394,2022-03-15 22:50:30.260,15.03.2022,22:50:30,YouTube Video Streaming,YouTube,141230342.0,55540.0,XL,LTE E-UTRA 3,YouTube Web Chrome v99.0.4844.58 (v98.0.4758.101),yFvWoSCp0UA,,1280 * 720,,142.251.10.93,NR,1.0,3.5,2.5,3.799999952316284,0.0,0.0,ok,1,0,1.162,0.10000000149011612,,
2022-03-15-23-09-12-9211-0884-7003-4538-S.mf,,ZONA17_LAMONGAN_DT,BP15_DT_01_DATA,Diversity,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),+6281382451706,TELKOMSEL_V1_BP15,,YouTube Service,YouTube Service,313532612612,313532612610,2022-03-15 23:09:26.737,15.03.2022,23:09:26,YouTube Video Streaming,YouTube,54796053.0,6024.0,Telkomsel,LTE E-UTRA 3,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101),yFvWoSCp0UA,,256 * 144,,10.78.106.166,NR,1.0,1.7999999523162842,1.5,2.5,0.0,0.0,ok,1,0,0.99,0.10000000149011612,,
2022-03-15-23-09-12-9211-0884-7003-5030-S.mf,,ZONA17_LAMONGAN_DT,BP15_DT_01_DATA,Diversity,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),+6288214399606,SMARTFREN_V1_BP15,,YouTube Service,YouTube Service,317827579908,317827579906,2022-03-15 23:09:26.325,15.03.2022,23:09:26,YouTube Video Streaming,YouTube,77157392.0,3032.0,Smartfren,LTE E-UTRA 40,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101),yFvWoSCp0UA,,432 * 240,,100.70.106.0,NR,1.0,2.299999952316284,2.200000047683716,2.5,0.0,0.0,ok,1,0,1.242,0.10000000149011612,,
2022-03-15-23-09-12-9211-0884-7003-6988-S.mf,,ZONA17_LAMONGAN_DT,BP15_DT_01_DATA,Diversity,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),+6285717660973,INDOSAT_V1_BP15,,YouTube Service,YouTube Service,322122547204,322122547202,2022-03-15 23:09:26.315,15.03.2022,23:09:26,YouTube Video Streaming,YouTube,11075331.0,32141.0,Indosat Ooredoo,LTE E-UTRA 3,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101),yFvWoSCp0UA,,864 * 480,,10.194.129.134,NR,1.0,3.0,2.5,3.200000047683716,0.0,0.0,ok,1,0,0.679,0.10000000149011612,,
2022-03-15-23-09-12-9211-0884-7003-9438-S.mf,,ZONA17_LAMONGAN_DT,BP15_DT_01_DATA,Diversity,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),+6287825402790,XL_V1_BP15,,YouTube Service,YouTube Service,326417514500,326417514498,2022-03-15 23:09:30.362,15.03.2022,23:09:30,YouTube Video Streaming,YouTube,138867206.0,55540.0,XL,LTE E-UTRA 3,YouTube Web Chrome v99.0.4844.58 (v98.0.4758.101),yFvWoSCp0UA,,864 * 480,,10.11.121.78,NR,1.0,3.0,2.5,3.200000047683716,0.0,0.0,ok,1,0,1.002,0.10000000149011612,,
2022-03-16-14-49-23-9211-0884-7003-4538-S.mf,,ZONA17_LAMONGAN_DT,BP15_DT_01_DATA,Diversity,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),+6281382451706,TELKOMSEL_V1_BP15,,YouTube Service,YouTube Service,433791696900,433791696898,2022-03-16 14:49:37.918,16.03.2022,14:49:37,YouTube Video Streaming,YouTube,54786838.0,6024.0,Telkomsel,LTE E-UTRA 8,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101),yFvWoSCp0UA,,1280 * 720,,114.125.97.47,NR,1.0,3.5,2.5,3.9000000953674316,0.0,0.0,ok,1,0,1.149,0.20000000298023224,,
2022-03-16-14-49-23-9211-0884-7003-6988-S.mf,,ZONA17_LAMONGAN_DT,BP15_DT_01_DATA,Diversity,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),+6285717660973,INDOSAT_V1_BP15,,YouTube Service,YouTube Service,442381631492,442381631490,2022-03-16 14:49:38.284,16.03.2022,14:49:38,YouTube Video Streaming,YouTube,11135490.0,32141.0,Indosat Ooredoo,LTE E-UTRA 3,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101),yFvWoSCp0UA,,640 * 360,,10.182.237.236,NR,1.0,2.5,2.5,2.5,0.0,0.0,ok,1,0,1.303,0.10000000149011612,,
2022-03-16-14-49-23-9211-0884-7003-9438-S.mf,,ZONA17_LAMONGAN_DT,BP15_DT_01_DATA,Diversity,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),+6287825402790,XL_V1_BP15,,YouTube Service,YouTube Service,446676598788,446676598786,2022-03-16 14:49:35.819,16.03.2022,14:49:35,YouTube Video Streaming,YouTube,139441420.0,55540.0,XL,LTE E-UTRA 8,YouTube Web Chrome v99.0.4844.58 (v98.0.4758.101),yFvWoSCp0UA,,1280 * 720,,74.125.200.91,NR,1.0,3.5,2.5999999046325684,4.300000190734863,0.0,0.0,ok,1,0,1.059,0.10000000149011612,,
2022-03-15-21-53-12-9211-0884-7003-6988-S.mf,,ZONA17_LAMONGAN_DT,BP15_DT_01_DATA,Diversity,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),+6285717660973,INDOSAT_V1_BP15,,YouTube Service,YouTube Service,1447403978756,1447403978754,2022-03-15 21:53:24.356,15.03.2022,21:53:24,YouTube Video Streaming,YouTube,11192067.0,54056.0,Indosat Ooredoo,LTE E-UTRA 3,YouTube Web Chrome v98.0.4758.101 (v98.0.4758.101),yFvWoSCp0UA,,1920 * 1080,,74.125.130.91,NR,1.0,3.5,2.5999999046325684,3.799999952316284,0.0,0.0,ok,1,0,0.794,0.10000000149011612,,
