SessionId,TestId,Serving Operator,Home Operator,Technology,CallingModule,ASideDevice,msgDate,msgTime,CollectionName,TestDescription,Zone,Throughput,ket,Host,Status,APN
4294967310,4294967303,Telkomsel,Telkomsel,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:14:49,ZONA17_LAMONGAN_DT,,NCM30100884,47520.76,GET,ftp://103.8.238.209,Successful,internet
4294967312,4294967304,Telkomsel,Telkomsel,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:15:07,ZONA17_LAMONGAN_DT,,NCM30100884,8464.72,PUT,ftp://103.102.153.214,Successful,internet
8589934606,8589934599,Smartfren,Smartfren,LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:14:37,ZONA17_LAMONGAN_DT,,NCM30100884,18528.256,GET,ftp://103.8.238.209,Successful,Smartfren4G
8589934608,8589934600,Smartfren,Smartfren,LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:15:23,ZONA17_LAMONGAN_DT,,NCM30100884,9608.64,PUT,ftp://103.102.153.214,Successful,Smartfren4G
12884901902,12884901895,Indosat Ooredoo,Indosat Ooredoo,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:14:49,ZONA17_LAMONGAN_DT,,NCM30100884,8020.76,GET,ftp://103.8.238.209,Failed,internet
12884901904,12884901896,Indosat Ooredoo,Indosat Ooredoo,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:15:49,ZONA17_LAMONGAN_DT,,NCM30100884,16805.504,PUT,ftp://103.102.153.214,Successful,internet
17179869198,17179869191,XL,XL,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:15:11,ZONA17_LAMONGAN_DT,,NCM30100884,0.0,GET,ftp://103.8.238.209,Failed,internet
17179869200,17179869192,XL,XL,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:15:41,ZONA17_LAMONGAN_DT,,NCM30100884,0.0,PUT,ftp://103.102.153.214,Failed,internet
107374182414,107374182407,Telkomsel,Telkomsel,LTE/LTE CA,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:33:48,ZONA17_LAMONGAN_DT,,NCM30100884,26883.016,GET,ftp://103.8.238.209,Successful,internet
107374182416,107374182408,Telkomsel,Telkomsel,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:34:19,ZONA17_LAMONGAN_DT,,NCM30100884,21349.336,PUT,ftp://103.102.153.214,Successful,internet
