SessionId,TestId,Serving Operator,Home Operator,Technology,CallingModule,ASideDevice,msgDate,msgTime,CollectionName,TestDescription,Zone,Duration
1533303324674,1533303324673,Indosat Ooredoo,Indosat Ooredoo,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:08:53,ZONA17_LAMONGAN_DT,,NCM30100884,1.066
1537598291970,1537598291969,Smartfren,Smartfren,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:08:55,ZONA17_LAMONGAN_DT,,NCM30100884,0.701
1537598291970,1537598291969,Smartfren,Smartfren,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:08:55,ZONA17_LAMONGAN_DT,,NCM30100884,1.0
1541893259266,1541893259265,Telkomsel,Telkomsel,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:08:55,ZONA17_LAMONGAN_DT,,NCM30100884,0.973
1541893259266,1541893259265,Telkomsel,Telkomsel,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),15.03.2022,22:08:55,ZONA17_LAMONGAN_DT,,NCM30100884,1.0
1666447310850,1666447310849,Smartfren,Smartfren,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,14:46:03,ZONA17_LAMONGAN_DT,,NCM30100884,0.435
1666447310850,1666447310849,Smartfren,Smartfren,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,14:46:03,ZONA17_LAMONGAN_DT,,NCM30100884,1.0
1670742278146,1670742278145,Telkomsel,Telkomsel,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,14:46:03,ZONA17_LAMONGAN_DT,,NCM30100884,0.982
1670742278146,1670742278145,Telkomsel,Telkomsel,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,14:46:03,ZONA17_LAMONGAN_DT,,NCM30100884,1.0
1675037245442,1675037245441,XL,XL,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,14:46:03,ZONA17_LAMONGAN_DT,,NCM30100884,
1675037245442,1675037245441,XL,XL,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,14:46:03,ZONA17_LAMONGAN_DT,,NCM30100884,0.999
1679332212738,1679332212737,Indosat Ooredoo,Indosat Ooredoo,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,14:46:03,ZONA17_LAMONGAN_DT,,NCM30100884,1.049
1679332212738,1679332212737,Indosat Ooredoo,Indosat Ooredoo,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,14:46:03,ZONA17_LAMONGAN_DT,,NCM30100884,2.0
1765231558658,1765231558657,Telkomsel,Telkomsel,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,15:14:56,ZONA17_LAMONGAN_DT,,NCM30100884,0.67
1765231558658,1765231558657,Telkomsel,Telkomsel,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,15:14:56,ZONA17_LAMONGAN_DT,,NCM30100884,1.0
1769526525954,1769526525953,Fren/Hepi,Smartfren,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,15:14:56,ZONA17_LAMONGAN_DT,,NCM30100884,0.997
1769526525954,1769526525953,Fren/Hepi,Smartfren,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,15:14:56,ZONA17_LAMONGAN_DT,,NCM30100884,1.0
1778116460546,1778116460545,Indosat Ooredoo,Indosat Ooredoo,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,15:14:56,ZONA17_LAMONGAN_DT,,NCM30100884,2.741
1778116460546,1778116460545,Indosat Ooredoo,Indosat Ooredoo,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,15:14:56,ZONA17_LAMONGAN_DT,,NCM30100884,8.0
1782411427842,1782411427841,XL,XL,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,15:14:56,ZONA17_LAMONGAN_DT,,NCM30100884,
1782411427842,1782411427841,XL,XL,LTE,0         ,Samsung Galaxy S21+ 5G (SM-G996BDS),16.03.2022,15:14:56,ZONA17_LAMONGAN_DT,,NCM30100884,5.229
